timestamp,enpoint,load,average_time,median_time
2024-10-12 09:25:28.707017+00:00,/upload_user_activity_data,1,0:00:01.111761,0:00:01.111761
2024-10-12 09:31:36.486001+00:00,/upload_user_activity_data,5,0:00:01.486936,0:00:01.503964
2024-10-12 09:31:49.180308+00:00,/upload_user_activity_data,10,0:00:02.580993,0:00:02.619236
2024-10-12 09:32:01.030348+00:00,/upload_user_activity_data,20,0:00:04.970227,0:00:05.045971
2024-10-12 09:32:20.169575+00:00,/upload_user_activity_data,25,0:00:06.313651,0:00:06.310213
2024-10-12 10:52:09.624614+00:00,/upload_user_activity_data,1,0:00:00.141668,0:00:00.141668
2024-10-12 11:30:52.434951+00:00,/upload_user_activity_data,1,0:00:00.193389,0:00:00.193389
2024-10-12 11:28:24.638872+00:00,/reading_session_update,1,0:00:00.967998,0:00:00.967998
2024-10-12 11:41:52.819265+00:00,/user_articles/recommended,1,0:00:01.047800,0:00:01.047800
2024-10-12 11:58:59.854786+00:00,/user_articles/recommended,100,0:00:33.671256,0:00:33.977880
2024-10-12 11:59:52.188144+00:00,/available_languages,100,0:00:32.362242,0:00:33.168157
